name,value
zNGxG,23
ieBIv,28
GiUYK,43
wUjPD,55
Ngumd,56
OeHNW,62
vexOl,73
XCyHp,78
fiULV,84
CxSmJ,84
WINai,96
kXlPv,96
OjsjT,129
ffFdN,132
butUO,143
xwxxh,146
uytjY,146
sjvtm,175
bpCFv,183
UOESp,192
UHsOh,200
FtBTo,203
Lkrck,221
CWHZm,223
tapEq,224
PCjuy,227
MrDfd,236
lrORZ,246
fuImM,259
NidNu,259
nWYfH,270
Qzecc,285
UBEWT,293
JDxDG,294
MjoYS,335
occFH,340
LvuZQ,365
tdkPW,369
vAIHM,374
gnPMr,374
vJdtF,375
rNWmk,377
HLHnC,386
SxZin,386
xqGNr,389
OJKSa,396
TVQZW,441
zFIuv,473
yjDYj,485
VkNKe,485
pinNY,488
hryQc,501
Czegs,520
XpRIR,526
gHPuX,531
DZlWn,537
xkkGY,539
WvOrL,542
WDkCs,556
cQLqF,561
nlrpl,561
Wdamv,573
rVatw,579
dZWrz,589
LXuAM,599
YUwZl,601
EeRjt,620
FbtGp,620
VLBGc,642
fRWXk,644
tTyEX,656
nlrcj,670
KsPkn,674
EcNKy,686
IURYf,688
KhZvG,696
vxYNN,706
yrijZ,706
cyigN,737
zProf,741
eKvqW,766
oxGZt,771
YYwEg,794
jJcsF,798
WGCac,814
NzKoW,820
DJnmL,827
QcVWY,838
vOIlG,878
fdFeU,889
UilVT,892
Bohja,894
KBIXg,899
LWHsT,905
MjbVX,925
bpnRY,936
aTLlh,970
myRGe,971
FsgsW,975
kzZoF,991
