People,No Shared Month (Decimal),Shared Month (Decimal)
1.0,1.0,0.0
2.0,0.9166666666666666,0.08333333333333337
3.0,0.7638888888888888,0.23611111111111116
4.0,0.5729166666666666,0.42708333333333337
5.0,0.3819444444444444,0.6180555555555556
6.0,0.22280092592592593,0.7771990740740741
7.0,0.11140046296296297,0.888599537037037
8.0,0.04641685956790124,0.9535831404320988
9.0,0.015472286522633745,0.9845277134773662
10.0,0.0038680716306584363,0.9961319283693416
11.0,0.0006446786051097393,0.9993553213948903
12.0,5.372321709247827e-05,0.9999462767829075
13.0,0.0,1.0
